"survey_id","country","community","years_fishing","age","boat_length_m","fishing_organization","education","gdp_prop","income_usd","NY.GDP.PCAP.KD","fishing_org_members","fishtech","boat_own","income_fishing","rank_one"
3034,"IND","MAK",25,39,8,"y","formal",0.596547789781983,2556,4284.65253543916,30,0,1,100,"pollution"
3035,"IND","MAK",22,32,8,"n","formal",0.596547789781983,2556,4284.65253543916,111,1,1,100,"pollution"
3036,"IND","MAK",22,39,15,"y","formal",3.97698526521322,17040,4284.65253543916,100,1,1,100,"iuu"
3037,"IND","MAK",21,40,15,"n","formal",1.59079410608529,6816,4284.65253543916,111,1,0,100,"weather"
3038,"IND","MAK",20,35,8,"n","formal",0.397698526521322,1704,4284.65253543916,111,0,1,100,"pollution"
3039,"IND","MAK",25,40,15,"n","formal",0.397698526521322,1704,4284.65253543916,111,0,0,100,"weather"
3040,"IND","MAK",25,39,7,"n","formal",0.795397053042644,3408,4284.65253543916,111,0,1,100,"weather"
3041,"IND","MAK",25,40,15,"y","formal",0.497123158151652,2130,4284.65253543916,300,0,0,100,"weather"
3042,"IND","MAK",20,33,12,"y","formal",0.596547789781983,2556,4284.65253543916,300,1,1,100,"weather"
3043,"IND","MAK",25,38,15,"n","formal",0.397698526521322,1704,4284.65253543916,111,0,0,100,"weather"
3044,"IND","MAK",20,38,12,"n","formal",0.397698526521322,1704,4284.65253543916,111,0,0,100,"weather"
3045,"IND","MAK",20,40,8,"n","formal",0.397698526521322,1704,4284.65253543916,111,1,0,100,"weather"
3046,"IND","MAK",12,39,8,"n","formal",0.397698526521322,1704,4284.65253543916,111,0,1,100,"weather"
3047,"IND","MAK",20,43,7,"y","formal",0.198849263260661,852,4284.65253543916,50,0,0,100,"weather"
3048,"IND","MAK",10,29,9,"n","formal",0.298273894890991,1278,4284.65253543916,111,0,0,100,"weather"
3049,"IND","MAK",40,55,6,"n","formal",0.397698526521322,1704,4284.65253543916,111,0,0,100,"weather"
3050,"IND","MAK",20,41,7,"y","formal",0.397698526521322,1704,4284.65253543916,20,0,0,100,"weather"
3051,"IND","MAK",50,65,7,"y","formal",0.298273894890991,1278,4284.65253543916,400,0,0,100,"weather"
3052,"IND","MAK",15,30,9,"n","formal",0.139194484282463,596.4,4284.65253543916,111,0,0,100,"pollution"
3053,"IND","MAK",10,25,7,"y","formal",0.298273894890991,1278,4284.65253543916,400,0,0,100,"weather"
3054,"IND","MAK",5,20,7,"n","formal",0.298273894890991,1278,4284.65253543916,111,0,0,100,"weather"
3055,"IND","MAK",20,45,11,"n","formal",1.19309557956397,5112,4284.65253543916,111,0,1,100,"weather"
3056,"IND","MAK",25,36,7,"n","formal",0.298273894890991,1278,4284.65253543916,111,0,0,100,"weather"
3057,"IND","MAK",25,45,10,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,0,100,"weather"
3058,"IND","MAK",25,38,12,"n","formal",0.497123158151652,2130,4284.65253543916,111,0,0,100,"weather"
3059,"IND","MAK",50,64,8,"n","no_formal",0.397698526521322,1704,4284.65253543916,111,0,1,100,"pollution"
4001,"IND","MNC",38,47,17,"n","formal",0.994246316303305,4260,4284.65253543916,62,0,1,100,"weather"
4002,"IND","MNC",20,35,17,"n","formal",0.397698526521322,1704,4284.65253543916,62,1,0,100,"weather"
4003,"IND","MNC",10,36,15,"y","formal",1.59079410608529,6816,4284.65253543916,30,1,1,100,"weather"
4004,"IND","MNC",7,27,17,"n","formal",0.397698526521322,1704,4284.65253543916,62,1,1,100,"weather"
4005,"IND","MNC",11,36,17,"n","formal",0.596547789781983,2556,4284.65253543916,62,1,0,100,"weather"
4006,"IND","MNC",12,40,17,"n","formal",0.497123158151652,2130,4284.65253543916,62,1,0,100,"weather"
4007,"IND","MNC",20,35,17,"n","formal",0.397698526521322,1704,4284.65253543916,62,1,0,100,"weather"
4008,"IND","MNC",2,17,17,"n","formal",0.397698526521322,1704,4284.65253543916,62,1,0,100,"weather"
4009,"IND","MNC",35,45,17,"y","formal",0.596547789781983,2556,4284.65253543916,25,1,0,100,"weather"
4010,"IND","MNC",15,37,17,"n","formal",1.19309557956397,5112,4284.65253543916,62,1,1,100,"weather"
4011,"IND","MNC",35,50,17,"n","formal",0.497123158151652,2130,4284.65253543916,62,1,0,10,"weather"
4012,"IND","MNC",8,27,17,"n","higher",0.994246316303305,4260,4284.65253543916,62,1,1,10,"weather"
4013,"IND","MNC",35,46,17,"n","formal",0.397698526521322,1704,4284.65253543916,62,1,0,10,"weather"
4014,"IND","MNC",10,30,20,"n","higher",0.994246316303305,4260,4284.65253543916,62,1,1,10,"weather"
4015,"IND","MNC",11,30,16,"n","higher",0.894821684672974,3834,4284.65253543916,62,1,1,10,"weather"
4016,"IND","MNC",20,36,16,"n","higher",0.894821684672974,3834,4284.65253543916,62,1,1,10,"corruption"
4017,"IND","MNC",10,37,11,"n","formal",0.298273894890991,1278,4284.65253543916,62,0,1,10,"weather"
4018,"IND","MNC",40,55,6,"n","formal",0.198849263260661,852,4284.65253543916,62,0,0,10,"weather"
4019,"IND","MNC",35,50,6,"n","formal",0.298273894890991,1278,4284.65253543916,62,1,1,10,"weather"
4020,"IND","MNC",30,45,6,"n","formal",0.298273894890991,1278,4284.65253543916,62,1,1,10,"weather"
4021,"IND","MNC",20,40,6,"n","formal",0.397698526521322,1704,4284.65253543916,62,1,1,10,"weather"
4022,"IND","MNC",25,41,6,"n","formal",0.298273894890991,1278,4284.65253543916,62,1,1,10,"weather"
4023,"IND","MNC",22,42,6,"n","formal",0.298273894890991,1278,4284.65253543916,62,1,0,10,"weather"
5001,"MEX","PSC",30,53,8,"y","formal",5.99795815827391,62400,10403.540397147,12,1,1,90,"corruption"
5002,"MEX","PSC",42,59,7,"y","formal",8.99693723741086,93600,10403.540397147,9,1,1,100,"iuu"
5003,"MEX","PSC",15,33,8,"y","higher",2.39918326330956,24960,10403.540397147,10,1,1,100,"iuu"
5004,"MEX","PSC",32,57,8,"y","formal",1.49948953956848,15600,10403.540397147,8,1,1,100,"corruption"
5005,"MEX","PSC",28,39,7,"y","formal",0.899693723741086,9360,10403.540397147,20,1,1,100,"corruption"
5006,"MEX","PSC",45,58,8,"y","formal",0.539816234244652,5616,10403.540397147,7,1,1,100,"iuu"
5007,"MEX","PSC",58,65,7,"y","formal",6.89765188201499,71760,10403.540397147,8,1,1,90,"corruption"
