"survey_id","survey_version","country","choice","wtp","package","sos","info","own"
1018,7,"IND",1,7.12,7,1,0,"1"
3001,4,"IND",1,3.56,20,0,0,"1"
3005,7,"IND",1,2.14,7,1,0,"1"
3007,8,"IND",1,3.56,24,0,1,"1"
3008,9,"IND",1,0,9,1,0,"3"
3009,13,"IND",1,0,29,1,0,"3"
3010,10,"IND",1,2.14,26,1,0,"2"
3011,10,"IND",1,3.56,26,1,0,"2"
3012,11,"IND",1,0,11,1,1,"4"
3013,11,"IND",1,2.14,11,1,1,"4"
3015,14,"IND",1,0,30,1,1,"1"
3016,9,"IND",1,0,9,1,0,"3"
3017,2,"IND",1,0,2,1,1,"3"
3018,3,"IND",1,0,19,1,0,"4"
3019,12,"IND",1,2.14,12,1,1,"1"
3020,15,"IND",1,2.14,15,0,0,"1"
3022,1,"IND",1,2.14,17,1,1,"3"
3023,16,"IND",1,0,32,1,1,"2"
3026,15,"IND",1,3.56,15,0,0,"1"
3027,12,"IND",1,3.56,12,1,1,"1"
3029,16,"IND",1,3.56,16,0,1,"3"
3030,1,"IND",1,3.56,17,1,1,"3"
3031,13,"IND",1,3.56,29,1,0,"3"
3032,12,"IND",1,5.35,12,1,1,"1"
3033,1,"IND",1,3.56,17,1,1,"3"
3036,3,"IND",1,3.56,19,1,0,"4"
3037,5,"IND",1,3.56,21,1,1,"4"
3041,9,"IND",1,2.14,9,1,0,"3"
3042,10,"IND",1,3.56,26,1,0,"2"
3043,11,"IND",1,2.14,11,1,1,"4"
3044,12,"IND",1,2.14,12,1,1,"1"
3045,13,"IND",1,2.14,29,1,0,"3"
3048,6,"IND",1,2.14,22,1,0,"1"
3049,4,"IND",1,0,4,1,0,"4"
3050,14,"IND",1,2.14,30,1,1,"1"
3052,8,"IND",1,0,24,0,1,"1"
3053,6,"IND",1,0,22,1,0,"1"
3054,2,"IND",1,0,2,1,1,"3"
3056,15,"IND",1,0,15,0,0,"1"
3057,16,"IND",1,0,32,1,1,"2"
3058,16,"IND",1,2.14,16,0,1,"3"
4002,2,"IND",1,0,2,1,1,"3"
4003,3,"IND",1,3.56,19,1,0,"4"
4004,4,"IND",1,0,4,1,0,"4"
4005,5,"IND",1,2.14,21,1,1,"4"
4006,6,"IND",1,2.14,22,1,0,"1"
4007,7,"IND",1,2.14,7,1,0,"1"
4008,8,"IND",1,2.14,24,0,1,"1"
4009,9,"IND",1,2.14,9,1,0,"3"
4010,10,"IND",1,2.14,26,1,0,"2"
4011,11,"IND",1,2.14,11,1,1,"4"
4012,12,"IND",1,3.56,12,1,1,"1"
4013,13,"IND",1,3.56,29,1,0,"3"
4014,14,"IND",1,3.56,30,1,1,"1"
4015,15,"IND",1,3.56,15,0,0,"1"
4016,16,"IND",1,3.56,16,0,1,"3"
4017,1,"IND",1,0,17,1,1,"3"
4019,3,"IND",1,2.14,19,1,0,"4"
4020,5,"IND",1,0,21,1,1,"4"
4021,6,"IND",1,2.14,6,0,0,"3"
4022,13,"IND",1,0,29,1,0,"3"
4023,15,"IND",1,0,15,0,0,"1"
7001,13,"IND",1,2.14,13,1,1,"2"
7002,13,"IND",1,2.14,29,1,0,"3"
7003,11,"IND",1,5.35,11,1,1,"4"
7004,11,"IND",1,5.35,11,1,1,"4"
7005,15,"IND",1,7.12,15,0,0,"1"
7006,9,"IND",1,0,9,1,0,"3"
7007,9,"IND",1,3.56,9,1,0,"3"
7009,8,"IND",1,2.14,24,0,1,"1"
7010,8,"IND",1,7.12,24,0,1,"1"
7011,4,"IND",1,7.12,4,1,0,"4"
7012,4,"IND",1,3.56,4,1,0,"4"
7013,5,"IND",1,0,21,1,1,"4"
7014,14,"IND",1,2.14,30,1,1,"1"
8001,15,"IND",1,5.35,31,0,0,"2"
8002,14,"IND",1,3.56,30,1,1,"1"
8003,16,"IND",1,7.12,32,1,1,"2"
8004,13,"IND",1,7.12,29,1,0,"3"
8005,11,"IND",1,2.14,11,1,1,"4"
8006,9,"IND",1,3.56,9,1,0,"3"
