"survey_id","STR","RES","ASC","package","sos","info","own","noalt","own.fisher","own.industry","own.gov","own.public"
1002,1001,0,1,14,1,0,"2",2,0,1,0,0
1002,1001,1,1,12,1,1,"1",2,1,0,0,0
1003,2001,0,1,10,0,0,"2",2,0,1,0,0
1003,2001,1,1,14,1,0,"2",2,0,1,0,0
1004,3001,1,1,5,0,0,"4",2,0,0,0,1
1004,3001,0,1,11,1,1,"4",2,0,0,0,1
1005,4001,1,1,11,1,1,"4",2,0,0,0,1
1005,4001,0,1,5,0,0,"4",2,0,0,0,1
1007,5001,1,1,2,1,1,"3",2,0,0,1,0
1007,5001,0,1,8,0,1,"4",2,0,0,0,1
1009,6001,0,1,6,0,0,"3",2,0,0,1,0
1009,6001,1,1,7,1,0,"1",2,1,0,0,0
1010,7001,0,1,16,0,1,"3",2,0,0,1,0
1010,7001,1,1,13,1,1,"2",2,0,1,0,0
1012,8001,0,1,10,0,0,"2",2,0,1,0,0
1012,8001,1,1,14,1,0,"2",2,0,1,0,0
1013,9001,0,1,3,0,1,"1",2,1,0,0,0
1013,9001,1,1,4,1,0,"4",2,0,0,0,1
1014,10001,0,1,6,0,0,"3",2,0,0,1,0
1014,10001,1,1,7,1,0,"1",2,1,0,0,0
1015,11001,1,1,7,1,0,"1",2,1,0,0,0
1015,11001,0,1,16,0,1,"3",2,0,0,1,0
1016,12001,0,1,8,0,1,"4",2,0,0,0,1
1016,12001,1,1,3,0,1,"1",2,1,0,0,0
1017,13001,1,1,9,1,0,"3",2,0,0,1,0
1017,13001,0,1,6,0,0,"3",2,0,0,1,0
1018,14001,1,1,7,1,0,"1",2,1,0,0,0
1018,14001,0,1,16,0,1,"3",2,0,0,1,0
3001,15001,0,1,4,1,0,"4",2,0,0,0,1
3001,15001,1,1,15,0,0,"1",2,1,0,0,0
3005,16001,1,1,7,1,0,"1",2,1,0,0,0
3005,16001,0,1,16,0,1,"3",2,0,0,1,0
3007,17001,0,1,8,0,1,"4",2,0,0,0,1
3007,17001,1,1,3,0,1,"1",2,1,0,0,0
3008,18001,1,1,9,1,0,"3",2,0,0,1,0
3008,18001,0,1,6,0,0,"3",2,0,0,1,0
3009,19001,0,1,13,1,1,"2",2,0,1,0,0
3009,19001,1,1,9,1,0,"3",2,0,0,1,0
3010,20001,0,1,10,0,0,"2",2,0,1,0,0
3010,20001,1,1,14,1,0,"2",2,0,1,0,0
3011,21001,0,1,10,0,0,"2",2,0,1,0,0
3011,21001,1,1,14,1,0,"2",2,0,1,0,0
3012,22001,1,1,11,1,1,"4",2,0,0,0,1
3012,22001,0,1,5,0,0,"4",2,0,0,0,1
3013,23001,1,1,11,1,1,"4",2,0,0,0,1
3013,23001,0,1,5,0,0,"4",2,0,0,0,1
3015,24001,0,1,14,1,0,"2",2,0,1,0,0
3015,24001,1,1,12,1,1,"1",2,1,0,0,0
3016,25001,1,1,9,1,0,"3",2,0,0,1,0
3016,25001,0,1,6,0,0,"3",2,0,0,1,0
3017,26001,1,1,2,1,1,"3",2,0,0,1,0
3017,26001,0,1,8,0,1,"4",2,0,0,0,1
3018,27001,0,1,3,0,1,"1",2,1,0,0,0
3018,27001,1,1,4,1,0,"4",2,0,0,0,1
3019,28001,1,1,12,1,1,"1",2,1,0,0,0
3019,28001,0,1,1,0,1,"2",2,0,1,0,0
3020,29001,1,1,15,0,0,"1",2,1,0,0,0
3020,29001,0,1,10,0,0,"2",2,0,1,0,0
3022,30001,0,1,1,0,1,"2",2,0,1,0,0
3022,30001,1,1,2,1,1,"3",2,0,0,1,0
